nom_du_projet,resume_du_projet,montant_engage,numero_dossier_ds,numero_ej,numero_operateur,operateur,demarche,nom_region,nom_departement,code_departement,siret_beneficiaire,raison_sociale_beneficiaire,forme_juridique_beneficiaire,code_commune,nom_commune
"Opération ""J'éteins la nuit!"" ","Cette action a pour objectif de réaliser des inventaires sur trois ordres faunistiques : les chiroptères, les rapaces nocturnes et les hétérocères car ils sont fortement impactés par la pollution lumineuse et de sensibiliser les collectivités, entreprises et citoyens à l'impact des éclairages la nuit. Pour cela, des études et suivis scientifiques sur ces populations seront réalisés dans le cadre d'inventaire, mais également de manière participative avec l'implication des habitants par le biais de visites chez le particulier, de réunions publiques, permanences téléphoniques et ateliers de sciences participatives.
Nous accompagnerons de manière plus spécifiques des collectivités intéressés dans la pose et le suivi de nichoirs pour les rapaces. Des mesurer sur la pollution lumineuse présente sur chaque secteur inventorié sera réalisé pour établir l'impact que peut avoir cette pollution lumineuse sur la biodiversité nocturne.",119987.00,14142993,,41667,Agence de l'eau,SN Biodiversité,Hauts-de-France,Pas-de-Calais,62,32942464200034,CENTRE INITIATION ENVIRONNEMENT URBAIN,Association déclarée,62041,Arras
Mise en place d'une mesure de protection de l'Effraie des clochers dans les communes par la mise en place de nichoirs dans les bâtiments communaux et suivi par baguage des populations,"L'effraie des clochers (Tyto alba) est un des rapaces nocturnes les plus courants de France. Son abondance relative ne doit pas faire oublier les menaces qui pèsent sur l'espèce : diminution de sa ressource alimentaire via l'intensification des pratiques agricoles, raréfaction des sites de reproduction, sensibilité aux épisodes climatiques extrêmes, notamment les vagues de froid, mortalité routière élevée…La pose de nichoirs permettrait le développement des populations. Le protocole de suivi est coordonné par le muséum d’histoires naturelles à travers le Centre de recherche et de suivi des populations d’oiseaux.  Il sera effectué par un bagueur agrée par le CRBPO salarié du CPIE Villes de l’Artois.  Le CPIE propose de mettre en place des nichoirs dans les églises ou exploitations et de les suivre chaque année.  Une journée de sensibilisation aura lieu pour les habitants des communes concernées ainsi qu'une rencontre avec les élus pour expliquer le projet.",44998.00,15308655,,41663,Agence de l'eau,SN Biodiversité,Hauts-de-France,Pas-de-Calais,62,32942464200034,CENTRE INITIATION ENVIRONNEMENT URBAIN,Association déclarée,62041,Arras
Centre de soins à la faune sauvage du Var,"Notre association souhaite ouvrir un centre de soins à la Faune sauvage dans le Var. En effet le manque de structures à l'échelle régionale et les nombreux appels reçus sur notre ligne téléphonique varoise dédiée à la faune sauvage en détresse pour sa première année de fonctionnement (900 appels) démontrent le besoin urgent d'une telle structure. Notre équipe est composée de personnes formées et compétentes (assistants vétérinaires, vétérinaires, professionnels du milieu associatifs...) et en lien avec les différents acteurs du milieu, dont les institutions, dans le cadre de la création de ce projet. Ce centre sera basé sur la commune du Pradet, en partenariat avec le Conservatoire du littoral qui est propriétaire du terrain. 
                                                                                                                                                                                               ",60000.00,15479260,2104917802,,,SN Biodiversité,Provence-Alpes-Côte d'Azur,Var,83,92399334900011,TOTEM,Association déclarée,83098,Le Pradet
Atlas de la Biodiversité Intercommunale de la CARL,"La CARL est un territoire fortement attractif et réputé pour ses plages et son cadre de vie. Il possède également un riche patrimoine naturel qui est  menacé par diverses pressions exercées sur lui.

L’Atlas de la Biodiversité Intercommunale permet de mettre en exergue toute la richesse faunistique et floristique du territoire. Il vient compléter les connaissances déjà acquises lors de l’élaboration des ABC de trois communes membres (Gosier, Saint-Anne et Saint-François). 

Ce projet se situe dans la continuité des engagements de la CARL et représente un outil opérationnel supplémentaire pour l’intégration de la biodiversité dans les politiques d’aménagement et de gestion du territoire. Il permet également d’articuler la connaissance et la mobilisation à l’échelle locale à des objectifs mondiaux de reconquête de la biodiversité à travers l’élaboration d’un plan d’actions pertinent pour le territoire.
",200480.00,16345997,,,,SN Biodiversité,Guadeloupe,Guadeloupe,971,20004150700027,"COMMUNAUTE D'AGGLOMERATION ""LA RIVIERA DU LEVANT""",Communauté d'agglomération,97110,La Désirade
Remise en pâturage d'anciennes prairies de bord de Loire,"L'association foncière pastorale Bords de Loire en Saumurois a pour vocation de faciliter la mise en valeur des prairies de bord de Loire par le pâturage ou la fauche. Le projet vise à remettre en pâture un ensemble de 7ha sur la commune de Montsoreau. Les travaux consistent en de l'élagage et des abattages raisonnés pour pouvoir poser une clôture et à la réalisation d'un accès à l'eau pour les animaux. Un éleveur local fera ensuite pâturer son troupeau en accord avec les objectifs de biodiversité et de maintien de l'ouverture du site (mise en défens des annexes fluviales, pression de pâturage moindre sur les zones humides, ralentissement et stabilisation de la dynamique ligneuse)",18982.00,16513960,,REG-2025-03484,Agence de l'eau,SN Biodiversité,Pays de la Loire,Maine-et-Loire,49,20009870500011,ASSOCIATION FONCIERE PASTORALE BORDS DE LOIRE EN SAUMUROIS,Association syndicale autorisée,49219,Montsoreau
Réalisation d'un Atlas de la biodiversité communale,"Dans le cadre de l'appel à projets « Atlas de la biodiversité communale »  lancé par 
l'Office français de la biodiversité (OFB), la ville de Bram a souhaité prendre attache avec 
l’association naturaliste locale Ecodiv afin de réaliser des inventaires faunistique et 
floristique sur le territoire communal. 
3 secteurs seront privilégiés : parc des Essars, lac de la Gabache, La Seignoure. 
L'association Nature en Jeux animera avec les enfants des écoles des inventaires participatifs.
L'association Grains d'Art portera la mise en œuvre d'un jeu concours dans les écoles de la ville avec la création d'une mascotte. Une exposition et un parcours naturaliste illustrés des espèces animales et végétales emblématiques de la commune seront créés. Un livret pédagogique sur la biodiversité de la commune qui inclura une fiche inventaire verra le jour. Il sera composé de fiches d'identification, de conseils de préservation, d'activités ludiques et pédagogiques.",44790.00,16530977,,,,SN Biodiversité,Occitanie,Aude,11,21110049000013,COMMUNE DE BRAM,Commune et commune nouvelle,11049,Bram
"Espace Naturel Sensible de la montagne de Miélandre - Plan de préservation, de gestion et d'interprétation 2024 - 2028","Suite à une aide du Département de la Drôme et de la Région AURA, la commune de Vesc a acheté le site de la montagne de
Miélandre en vue de créer un Espace Naturel Sensible (255ha). La gestion de ce site a été confiée à la communauté de communes
Dieulefit-Bourdeaux. Suite à un travail important de concertation et coconstruction, un projet de plan de préservation, de gestion et d'interprétation, avec une méthodologie proche des réserves naturelles, a été validé par le comité de gestion du site. D'une durée de 5 ans, il se traduira en différentes actions en matière de connaissance, de gestion, d'ouverture au public et d'animation, répondant à la stratégie définie. Ce plan, ainsi que la demande de labellisation du site en ENS ont été validés par le conseil communautaire et sont en instance de l'être par le Département de la Drôme. 
Le présent dossier Fonds vert porte sur le volet ouverture au public et sur une action du volet connaissance.",19904.00,16558847,2104672357,,,SN Biodiversité,Auvergne-Rhône-Alpes,Drôme,26,24260049200019,CC DIEULEFIT-BOURDEAUX,Communauté de communes,26373,Vesc
Acquisition du site et lancement des études dans le cadre de la Renaturation de l'ancien camping du Phare,"La commune a récemment acquis le site de l'ancien camping du Phare de Pontusval (partie sur la commune de Plounéour-Brignogan-Plages et partie sur la commune de Kerlouan) afin de le renaturer. Ce lieu abandonné fait l'objet d'un projet de restauration de la biodiversité et des zones humides. Le site présente un fort potentiel d’aménagement naturel avec notamment la présence d’une roselière. Ce travail se veut également pédagogique pour sensibiliser, éduquer à la prise de conscience de la fragilité du littoral, aux risques naturels et notamment celui de submersion marine et de l’érosion, et de fait, à la nécessité du repli de l’activité humaine et la restauration des espaces naturels. Il permettrait de restaurer le cordon dunaire. Le projet va de l'acquisition à l'aménagement naturel en passant par le retrait des nombreuses caravanes, mobil homes et cabanons qui l'encombrent, des études relatives à la restauration de la faune et la flore locale, des études de restauration d'une zone humide et de sa capacité de rétention des eaux pluviales.
A ce stade nous sollicitions le Fonds Vert pour une aide sur l'acquisition foncière et l'étude faune-flore.
",95000.00,16696896,,REG-2025-03010,Agence de l'eau,SN Biodiversité,Bretagne,Finistère,29,20006305500012,COMMUNE DE PLOUNEOUR-BRIGNOGAN-PLAGES,Commune et commune nouvelle,29021,Plounéour-Brignogan-plages
REPIC : REstaurer la Posidonie Impactée par l'anCrage - Projet 2025 -,"Posidonia oceanica est une espèce protégée, endémique de la mer Méditerranée, qui forme de vastes prairies. Les rôles écologiques et économiques des herbiers de posidonie sont fondamentaux. Avec une croissance lente et une très forte vulnérabilité aux pressions anthropiques, ils sont en sérieux déclin. Depuis 2019, le programme REPIC permet de replanter des fragments d’herbiers arrachés par les ancres. L’expérience acquise lors des six années d'expérimentation a permis d’atteindre une efficacité de restauration de 80%, avec une surface en voie de restauration de 3800 m² replantée de 273500 faisceaux. En 2025, nous poursuivrons la restauration (et le suivi) de cet écosystème-clé sur 1700 m² supplémentaires. Cela contribuera à rétablir les services écosystémiques, à atténuer le changement climatique grâce à la séquestration en carbone opérée par la posidonie et à décliner l’adoption du règlement européen sur la restauration de la nature.",136184.00,16717061,2104733350,,,SN Biodiversité,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,06,50312241800026,ANDROMEDE OCEANOLOGIE,Société à responsabilité limitée (sans autre indication),06011,Beaulieu-sur-Mer
"Développement et mise en œuvre d'un programme d'éradication du Gecko tokay, Gekko gecko, en Martinique (GEKKOMAR)","Les écosystèmes insulaires des Caraïbes sont menacés par l'introduction croissante d'espèces exotiques envahissantes, nécessitant des efforts de gestion malgré la complexité de leur contrôle. Le Gecko Tokay, Gekko gecko, représente une menace sérieuse en Martinique, par sa prédation sur d'autres animaux et insectes autochtones, et sa capacité à transmettre des bactéries résistantes aux antibiotiques. Pour contrer cette menace, un projet d'éradication sur deux ans est proposé, utilisant une méthode de capture combinant refuges artificiels et aveuglement éphémère. Une campagne de sensibilisation du public accompagnera ces mesures pour renforcer la surveillance du territoire et l'adhésion locale. L'évaluation de l'efficacité se fondera sur la diminution du taux d'occupation du Gecko Tokay, la réhabilitation des espèces natives, et l'acceptation sociale des actions de contrôle.",74034.00,16776754,2104845503,,,SN Biodiversité,Martinique,Martinique,972,81133454900045,ASSOCIATION CARIBAEA INITIATIVE,Association déclarée,97230,La Trinité
Caractérisation de l'impact de la chasse sur la dynamique de renouvellement forestière,"L’ONF, avec 6 millions d’ha de forêts domaniale, est le premier gestionnaire d’espaces naturels en Guyane. L'exploitation à faible impact l’amène à développer un réseau de dessertes forestières qui s’accompagne l’extension spontanée d’autres activités, et notamment la chasse. Hors la régénération forestière repose sur la zoochorie. Il a été démonté que l’impact de la diminution des populations animales en raison de la chasse sur le renouvellement forestier est réel. L’ONF souhaite investir le champ cynégétique en conduisant une étude caractérisant les pratiques de la chasse sur deux zones à forts enjeux et en modélisant de l’impact de la chasse sur la dynamique de régénération forestière. Cette étude anticipe la mise en place participative de mesures de gestion de la chasse et l’optimisation de la planification des dessertes forestières. Elle préfigure la création de plans de gestion de la chasse sur d’autres forêts gérées.
",147911.00,16777299,2104635107,,,SN Biodiversité,Guyane,Guyane,973,66204311600497,OFFICE NATIONAL DES FORETS,Établissement public national à caractère industriel ou commercial doté d'un comptable public,97301,Régina
Étude et actions de conservation sur les gites d'espèces de chauves-souris annexe II de Camargue,"La Camargue a la spécificité d'abriter de nombreux gîtes de mise bas de chiroptères, notamment de Murins à oreilles échancrées et de Grands rhinolophes (espèce Annexe II), à forts enjeux de conservation. Or les dernières années de suivi des colonies connues mettent en évidence une baisse inquiétante des effectifs. Face à ce constat, il est urgent d’agir. Ce projet porte donc sur l’amélioration des connaissances et la mise en œuvre d'actions concrètes de conservation et d'aménagement des gites pour la conservation d’espèces annexe II de Camargue.",158563.00,16808308,2104775601,,,SN Biodiversité,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13,42037692300025,ASSO GROUPE CHIROPTERE DE PROVENCE,Association déclarée,13004,Arles
Actions de conservation en faveur de l'avifaune de montagne,"Le projet se concentre sur des actions pouvant ainsi améliorer les habitats favorables pour la faune et la flore sauvage de montagne et se focalise plus particulièrement sur la trame aérienne. Pour cela, des espèces parapluies emblématiques des Alpes ont été choisis pour cibler nos actions (le Tétras-lyre, la perdrix bartavelle, le lagopède alpin, le Gypaète barbu, l’Aigle royal…). Le projet vise à réduire la mortalité par percussion de l’avifaune dans les câbles de remontées mécanique. Selon une étude menée sur le Tétras-lyre, la percussion dans ces câbles représente 20 % des causes de mortalité, soit autant que la prédation (POIA BIRDSKI). A ce jour, plus de 700 cas de mortalités d’oiseaux dans ces câbles ont été recensés dans les bases de données de l'OGM. Il est donc essentiel de sensibiliser les domaines skiables à cet enjeu et de leur proposer des outils pour rendre les câbles plus visibles pour l'avifaune de montagne.
",27000.00,16836607,2104820072,,,SN Biodiversité,Auvergne-Rhône-Alpes,Haute-Savoie,74,41946094400012,OBSERVATOIRE DES GALLIFORMES DE MONTAGNE,Association déclarée,74267,Sevrier
Lacustris 2024-2026,"Ce projet collaboratif « Lacustris » sur les lacs de montagne des Pyrénées françaises a pour objectifs, dans la dynamique instituée au sein du GIS Lacs des Pyrénées, de permettre des actions de conservation des écosystèmes lacustres. Le projet vise à consolider le cadre scientifique et technique de ces actions en fournissant des référentiels et des retours d’expériences. Il s’articule suivant trois axes :
(1) consolider les connaissances et les référentiels scientifiques et naturalistes nécessaires et préalables à la mise en œuvre d’actions de conservation maitrisée,
(2) expérimenter de nouvelles actions de gestion pour une amélioration de l’état de conservation des lacs de montagne dans les Pyrénées,
(3) communiquer sur la fragilité de ces écosystèmes et leur vulnérabilité face aux pressions anthropiques malgré une perception d’immuabilité de ces lacs par le grand public.
",367850.00,16865230,2104702772,,,SN Biodiversité,Occitanie,Hautes-Pyrénées,65,25650215400014,CONSERVATOIRE BOTANIQUE PYRENEEN,Syndicat mixte ouvert,65059,Bagnères-de-Bigorre
Un toit pour les chauves-souris,"L’objectif du projet est de ré-ouvrir des bâtiments abritant des chauves-souris, et en particulier les clochers des églises, en faisant des travaux et/ou aménagements sur des édifices préalablement identifiées pour réhabiliter des accès/habitats pour les chiroptères.  Le projet cible plus spécifiquement 5 espèces dont 3 trois sont classées espèces prioritaires à l’échelle nationale dans le PNAC 2016 -2025: le petit rhinolophe, le grand rhinolophe et le petit murin(cf. Tableau 2 : espèces prioritaires. P9). Les aménagements dépendront des espèces découvertes lors des inventaires réalisés dans et autour des bâtiments. Ce sont les espèces inventoriées et le potentiel d'accueil des sites qui permettront d’affiner ensuite les projets d'ouvertures.",48750.00,16916992,2104769687,,,SN Biodiversité,Occitanie,Hérault,34,33146693800056,ASSOCIATION DE GESTION DU CENTRE PERMANENT D'INITIATIVES POUR L'ENVIRONNEMENT DU HAUT LANGUEDOC,Association déclarée,34107,Fraisse-sur-Agout
Restaurer les mosaïques d’habitats et les milieux ouverts sur la zone de non-chasse du Banc herbeux en complément du pâturage équin.,"La Maison de l'Estuaire gère la réserve naturelle de l'estuaire de la Seine, où la roselière montre des signes de vieillissement et d'homogénéisation. Cette vaste zone, protégée depuis 1997, a subit de profondes modifications au cours du temps avec un impact sur les habitats naturels. Sans aucune action la roselière colonise toute la surface en homogénéisant l’habitat et en rendant difficile l’accueil des oiseaux de milieux ouverts et l’existence d’habitats à enjeux comme les prés-salés. C’est pourquoi à l’automne 2021, le gestionnaire a entrepris des actions sur la roselière mono-spécifique du banc herbeux, dans le but d’y restaurer des surfaces ouvertes. L’idée est d’exercer une pression mécanique quelques années, afin d’aider les chevaux dans les actions d’ouverture du milieu et qu’ensuite la pression de pâturage soit suffisante et qu’elle puisse prendre le relais pour que cette restauration soit pérenne dans le temps.",64500.00,16926746,2104715795,,,SN Biodiversité,Normandie,Seine-Maritime,76,39905496400032,MAISON DE L'ESTUAIRE,Association déclarée,76657,Saint-Vigor-d'Ymonville
Animation et mise en place d’une lutte collective par piégeage contre le ragondin et le rat musqué dans le département de la Loire (42) et amélioration de la connaissance de leur impact sanitaire notamment de la leptospirose sur la santé publique et l’élevage.,"Le département de la Loire, de par ses innombrables zones d’eaux stagnantes (étangs, plans d’eau, canaux…), ses régions d’élevages (bovins, équins…), ses activités de loisirs est un département particulièrement sensible à la présence du ragondin (conséquences hydrologiques, économiques, environnementales et risque sanitaire). 
Ce projet a pour but de mobiliser des personnes ressources et des piégeurs en collaboration avec le Groupement de lutte contre le ragondin et le rat musqué afin d'arriver à maîtriser les populations dans une démarche à long terme, de réduire la pression du ragondin sur les écosystèmes des étangs afin de favoriser le développement naturel d’habitats favorables à la faune, d'informer et de sensibiliser plus largement les acteurs du territoire, et d'améliorer nos connaissances concernant les risques de transmission de la leptospirose par ces espèces sur notre territoire.",13547.00,16969585,2104769022,,,SN Biodiversité,Auvergne-Rhône-Alpes,Loire,42,78161951500039,FEDERATION DEPARTEMENTALE CHASSEURS,Autre personne morale de droit privé,42094,Feurs
Valorisation et accueil du public sur la Réserve naturelle régionale Jasseries de Colleigne 2024,"Le projet consiste sur 3 ans à opérer les phases finales de restauration de la jasserie « Le Berre » et de profiter des équipements installés pour renforcer l’accueil du public de la jasserie « Fayard-Rozier ».
Pour compléter ces aménagements et finaliser l’outil d’accueil du public, des aménagements et infrastructures complémentaires sont prévues en 2024 : restauration des pistes d’accès, aménagements des zones de stationnement et de la signalétique, parcours pédagogiques entre le parking et les jasseries.
",54100.00,17047314,2104644722,,,SN Biodiversité,Auvergne-Rhône-Alpes,Loire,42,39853422200037,CONSERVATOIRE RH ALP ESPACES NATURELS,Association déclarée,42298,Sauvain
"Mallette pédagogique sur les papillons de jour, sensibiliser pour mieux conserver les papillons menacés","La mallette pédagogique est à destination de tous les adultes « Passeurs de nature » : enseignants, animateurs, parents… désireux de transmettre des connaissances naturalistes sur le sujet des papillons de jour à un public d’enfants et de jeunes et qui recherchent des outils pédagogiques clés en main. 
Objectifs liés au PNA Papillons de jour :
- Faire découvrir aux enfants, sur le terrain, les spécificités des Lépidoptères diurnes : morphologie, cycle de vie, écologie etc.
- Leur faire étudier la formidable diversité des espèces de papillons.
- Les sensibiliser aux menaces pesant sur leurs plantes hôtes et leurs habitats.
- Les inciter à agir concrètement, en proposant des actions de protection.
La prise en compte de la biodiversité commence dès le plus jeune âge et présente de meilleurs résultats lorsque la sensibilisation se réalise tôt dans le cycle de l’apprentissage. 
",15000.00,17075207,2104661903,,,SN Biodiversité,Auvergne-Rhône-Alpes,Puy-de-Dôme,63,38348071200025,FEDER NAT CONNAISSANCE PROTECTION NATURE,Association déclarée,08341,Poix-Terron
Mise en oeuvre de la Stratégie Aires Protégées en Drôme,"L'objectif de ce projet est double :
- accompagner la réalisation d'inventaires pour les territoires qui concourent à la mise en oeuvre de la SAP
- financer les panneaux de signalétique sur sites APPB / APPHN pour sensibiliser au mieux le public",23265.00,17131461,2104664821 | 2104664824,,,SN Biodiversité,Auvergne-Rhône-Alpes,Drôme,26,13000775000016,DIRECTION DEPARTEMENTALE DES TERRITOIRES DROME,Service déconcentré de l'État à compétence (inter) départementale,26105,Cornillon-sur-l'Oule
