nom;structure_porteuse;communes;annee_debut;statut_a_verifier;motif;requete_recherche
ABC Marciac;Marciac;Marciac;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Marciac" Marciac
ABC PETR du pays de Sarrebourg;CC Sarrebourg Moselle Sud  PETR du pays de Sarrebourg;Arzviller, Bourdonnay, Gondrexange, Henridorff, Lagarde, Lutzelbourg, Maizières-lès-Vic, Moussey, Réchicourt-le-Château, Saint-Louis;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "CC Sarrebourg Moselle Sud  PETR du pays de Sarrebourg" Arzviller
ABC Pays Ségali Communauté;EPAGE Viaur;Boussac, Cabanès, Calmont, Camboulazet, Camjac, Baraqueville, Cassagnes-Bégonhès, Castanet, Castelmary, Centrès, Colombiès, Crespin, Gramond, Manhac, Meljac, Moyrazès, Naucelle, Pradinas, Quins, Sainte-Juliette-sur-Viaur, Saint-Just-sur-Viaur, Sauveterre-de-Rouergue, Tauriac-de-Naucelle;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "EPAGE Viaur" Boussac
ABC Pévèle-Carembault;CC Pévèle-Carembault;Templeuve-en-Pévèle;2021;Va débuter;« va débuter » depuis 2021 → potentiellement en cours;"atlas de la biodiversité communale" "CC Pévèle-Carembault" Templeuve-en-Pévèle
ABC Saint-Antonin-Noble-Val;Saint-Antonin-Noble-Val;Saint-Antonin-Noble-Val;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Saint-Antonin-Noble-Val" Saint-Antonin-Noble-Val
ABC Saint-Jean;Saint-Jean;Saint-Jean;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Saint-Jean" Saint-Jean
ABC Salvetat-Saint-Gilles;La Salvetat-Saint-Gilles;La Salvetat-Saint-Gilles;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "La Salvetat-Saint-Gilles" La Salvetat-Saint-Gilles
ABC bassin versant de l'étang de Salses-Leucate;Syndicat mixte Rivage;Caves, Fitou, Leucate, Treilles, Le Barcarès, Opoul-Périllos, Saint-Hippolyte, Saint-Laurent-de-la-Salanque, Salses-le-Château;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Syndicat mixte Rivage" Caves
ABC d'Angerville;Angerville;Angerville;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "Angerville" Angerville
ABC d'Arudy;Parc national des Pyrénées;Arudy;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Parc national des Pyrénées" Arudy
ABC d'Urrugne;Urrugne;Urrugne;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "Urrugne" Urrugne
ABC de Bains sur Oust;Bains-sur-Oust;Bains-sur-Oust;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Bains-sur-Oust" Bains-sur-Oust
ABC de Bergouey-Viellenave;Bergouey-Viellenave;Bergouey-Viellenave;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "Bergouey-Viellenave" Bergouey-Viellenave
ABC de Castelnau-de-Médoc;Castelnau-de-Médoc;Castelnau-de-Médoc;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "Castelnau-de-Médoc" Castelnau-de-Médoc
ABC de Cellettes;Cellettes;Cellettes;2022;Va débuter;statut figé à 2022 (archives);"atlas de la biodiversité communale" "Cellettes" Cellettes
ABC de Changis-sur-Marne;Changis-sur-Marne;Changis-sur-Marne;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Changis-sur-Marne" Changis-sur-Marne
ABC de Cosne-Cours-sur-Loire;Cosne-Cours-sur-Loire;Cosne-Cours-sur-Loire;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "Cosne-Cours-sur-Loire" Cosne-Cours-sur-Loire
ABC de Coulanges-lès-Nevers;;Coulanges-lès-Nevers;2021;Va débuter;statut figé à 2022 (archives);"atlas de la biodiversité communale" "de Coulanges-lès-Nevers" Coulanges-lès-Nevers
ABC de Dampierre-sur-Linotte;;Dampierre-sur-Linotte;2021;Va débuter;statut figé à 2022 (archives);"atlas de la biodiversité communale" "de Dampierre-sur-Linotte" Dampierre-sur-Linotte
ABC de Deshaies;Parc national de la Guadeloupe;Deshaies;2022;Va débuter;« va débuter » depuis 2022 → potentiellement en cours;"atlas de la biodiversité communale" "Parc national de la Guadeloupe" Deshaies
ABC de Gespunsart;Gespunsart;Gespunsart;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Gespunsart" Gespunsart
ABC de Glanges;Glanges;Glanges;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "Glanges" Glanges
ABC de Jouy-en-Josas, Buc, Bièvres;Jouy-en-Josas;Buc, Jouy-en-Josas, Bièvres;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Jouy-en-Josas" Buc
ABC de Louhans-Châteaurenaud;Louhans;Louhans;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "Louhans" Louhans
ABC de Louveciennes;Louveciennes;Louveciennes;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Louveciennes" Louveciennes
ABC de Lys;Parc national des Pyrénées;Lys;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Parc national des Pyrénées" Lys
ABC de Matoury;;Matoury;;Va débuter;statut figé à 2022 (archives);"atlas de la biodiversité communale" "de Matoury" Matoury
ABC de Mitry-Mory;Mitry-Mory;Mitry-Mory;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Mitry-Mory" Mitry-Mory
ABC de Morancez;CA Chartres Métropole;Morancez;2022;Va débuter;statut figé à 2022 (archives);"atlas de la biodiversité communale" "CA Chartres Métropole" Morancez
ABC de Nonza;Nonza;Nonza;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "Nonza" Nonza
ABC de Petit-Bourg;;Petit-Bourg;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "de Petit-Bourg" Petit-Bourg
ABC de Saint-Claude;Saint-Claude;Saint-Claude;2022;Va débuter;« va débuter » depuis 2022 → potentiellement en cours;"atlas de la biodiversité communale" "Saint-Claude" Saint-Claude
ABC de Saint-Hilaire-Saint-Mesmin;Orléans Métropole Saint-Hilaire-Saint-Mesmin;Saint-Hilaire-Saint-Mesmin;2022;Va débuter;statut figé à 2022 (archives);"atlas de la biodiversité communale" "Orléans Métropole Saint-Hilaire-Saint-Mesmin" Saint-Hilaire-Saint-Mesmin
ABC de Saint-Pierre-du-Perray;Saint-Pierre-du-Perray;Saint-Pierre-du-Perray;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Saint-Pierre-du-Perray" Saint-Pierre-du-Perray
ABC de Saint-Pryvé-Saint-Mesmin;Orléans Métropole;Saint-Pryvé-Saint-Mesmin;2022;Va débuter;statut figé à 2022 (archives);"atlas de la biodiversité communale" "Orléans Métropole" Saint-Pryvé-Saint-Mesmin
ABC de Schiltigheim;Schiltigheim;Schiltigheim;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "Schiltigheim" Schiltigheim
ABC de Soulaines-sur-Aubance;;Soulaines-sur-Aubance;2022;Va débuter;statut figé à 2022 (archives);"atlas de la biodiversité communale" "de Soulaines-sur-Aubance" Soulaines-sur-Aubance
ABC de Sévignacq-Meyracq;Parc national des Pyrénées;Sévignacq-Meyracq;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Parc national des Pyrénées" Sévignacq-Meyracq
ABC de Terre-de-Bas;;Terre-de-Bas;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "de Terre-de-Bas" Terre-de-Bas
ABC de Terre-de-Haut;;Terre-de-Haut;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "de Terre-de-Haut" Terre-de-Haut
ABC de Trois-Rivières;;Trois-Rivières;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "de Trois-Rivières" Trois-Rivières
ABC de Verneuil-sur-Seine;Verneuil-sur-Seine;Verneuil-sur-Seine;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Verneuil-sur-Seine" Verneuil-sur-Seine
ABC de Villennes-sur-Seine;Villennes-sur-Seine;Villennes-sur-Seine;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Villennes-sur-Seine" Villennes-sur-Seine
ABC de la CA Saint-Quentin-en-Yvelines;CA de Saint-Quentin-en-Yvelines;Les Clayes-sous-Bois, Coignières, Élancourt, Guyancourt, Magny-les-Hameaux, Montigny-le-Bretonneux, Plaisir, Trappes, La Verrière, Villepreux, Voisins-le-Bretonneux;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "CA de Saint-Quentin-en-Yvelines" Les Clayes-sous-Bois
ABC de la CA de La Rochelle;;Angoulins, Aytré, Bourgneuf, Châtelaillon-Plage, Clavette, Croix-Chapeau, Dompierre-sur-Mer, Esnandes, L'Houmeau, La Jarne, La Jarrie, Lagord, Marsilly, Montroy, Nieul-sur-Mer, Périgny, Puilboreau, La Rochelle, Saint-Christophe, Saint-Médard-d'Aunis, Saint-Rogatien, Sainte-Soulle, Saint-Vivien, Saint-Xandre, Salles-sur-Mer, Thairé, Vérines, Yves;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "de la CA de La Rochelle" Angoulins
ABC de la CA du Grand Villeneuvois;CA du Grand Villeneuvois;Allez-et-Cazeneuve, Bias, Casseneuil, Cassignas, Castella, La Croix-Blanche, Dolmayrac, Fongrave, Hautefage-la-Tour, Laroque-Timbaut, Lédat, Monbalen, Pujols, Saint-Antoine-de-Ficalba, Sainte-Colombe-de-Villeneuve, Saint-Étienne-de-Fougères, Sainte-Livrade-sur-Lot, Saint-Robert, Villeneuve-sur-Lot;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "CA du Grand Villeneuvois" Allez-et-Cazeneuve
ABC de la CC Castillon-Pujols;CC Castillon/Pujols;Saint-Michel-de-Montaigne, Bossugan, Branne, Cabara, Castillon-la-Bataille, Civrac-sur-Dordogne, Coubeyrac, Doulezon, Flaujagues, Gensac, Grézillac, Guillac, Jugazan, Juillac, Lugaignac, Mérignas, Mouliets-et-Villemartin, Naujan-et-Postiac, Pessac-sur-Dordogne, Pujols, Rauzan, Ruch, Saint-Aubin-de-Branne, Sainte-Colombe, Sainte-Florence, Saint-Jean-de-Blaignac, Saint-Magne-de-Castillon, Saint-Pey-de-Castets, Sainte-Radegonde, Saint-Vincent-de-Pertignas, Les Salles-de-Castillon;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "CC Castillon/Pujols" Saint-Michel-de-Montaigne
ABC de la CC Plaines et Monts de France;CC Plaines et Monts de France;Annet-sur-Marne, Charmentray, Charny, Cuisy, Fresnes-sur-Marne, Iverny, Marchémoret, Messy, Montgé-en-Goële, Nantouillet, Oissery, Le Pin, Le Plessis-aux-Bois, Le Plessis-l'Évêque, Précy-sur-Marne, Saint-Mesmes, Saint-Pathus, Villeroy, Villevaudé, Vinantes;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "CC Plaines et Monts de France" Annet-sur-Marne
ABC de la Chapelle-Saint-Mesmin;Orléans Métropole La Chapelle-Saint-Mesmin;La Chapelle-Saint-Mesmin;2022;Va débuter;statut figé à 2022 (archives);"atlas de la biodiversité communale" "Orléans Métropole La Chapelle-Saint-Mesmin" La Chapelle-Saint-Mesmin
ABC de la Communauté d'Agglomération de Saint Dizier, Der & Blaise;CA de Saint-Dizier Der et Blaise;Ambrières, Cheminon, Hauteville, Landricourt, Maurupt-le-Montois, Saint-Eulien, Saint-Vrain, Sapignicourt, Trois-Fontaines-l'Abbaye, Vouillers, Allichamps, Attancourt, Bailly-aux-Forges, Bettancourt-la-Ferrée, Brousseval, Ceffonds, Chamouilley, Chevillon, Curel, Domblain, Dommartin-le-Franc, Doulevant-le-Petit, Éclaron-Braucourt-Sainte-Livière, Eurville-Bienville, Fays, Fontaines-sur-Marne, Frampas, Hallignicourt, Humbécourt, Bayard-sur-Marne, Laneuville-à-Rémy, Laneuville-au-Pont, Louvemont, Magneux, Maizières, Moëslains, La Porte du Der, Montreuil-sur-Blaise, Morancourt, Narcy, Osne-le-Val, Perthes, Planrupt, Rives Dervoises, Rachecourt-Suzémont, Rachecourt-sur-Marne, Roches-sur-Marne, Saint-Dizier, Sommancourt, Sommevoire, Thilleux, Troisfontaines-la-Ville, Valcourt, Valleret, Vaux-sur-Blaise, Ville-en-Blaisois, Villiers-en-Lieu, Voillecomte, Wassy;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "CA de Saint-Dizier Der et Blaise" Ambrières
ABC de la Communauté d'agglomération du Douaisis;Roost-Warendin;Anhiers, Arleux, Aubigny-au-Bac, Auby, Brunémont, Bugnicourt, Cantin, Courchelettes, Cuincy, Dechy, Douai, Erchin, Esquerchin, Estrées, Faumont, Féchain, Férin, Flers-en-Escrebieux, Flines-lez-Raches, Fressain, Guesnain, Hamel, Lallaing, Lambres-lez-Douai, Lauwin-Planque, Lécluse, Marcq-en-Ostrevent, Râches, Raimbeaucourt, Roost-Warendin, Roucourt, Sin-le-Noble, Villers-au-Tertre, Waziers;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Roost-Warendin" Anhiers
ABC de la Communauté d’Agglomération de la Baie de Somme;;Abbeville, Arrest, Bailleul, Bettencourt-Rivière, Boismont, Bray-lès-Mareuil, Brutelles, Cambron, Caours, Cayeux-sur-Mer, Citerne, Condé-Folie, Doudelainville, Drucat, Eaucourt-sur-Somme, Épagne-Épagnette, Érondelle, Estrébœuf, Fontaine-sur-Somme, Franleu, Frucourt, Grand-Laviers, Hallencourt, Huppy, Lanchères, Liercourt, Limeux, Longpré-les-Corps-Saints, Mareuil-Caubert, Mérélessart, Mons-Boubert, Neufmoulin, Pendé, Saigneville, Saint-Blimont, Saint-Valery-sur-Somme, Sorel-en-Vimeu, Vauchelles-les-Quesnoy, Wiry-au-Mont, Yonval;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "de la Communauté d’Agglomération de la Baie de Somme" Abbeville
ABC de la Communauté urbaine du Grand Paris Seine & Oise;CU Grand Paris Seine et Oise;Achères, Les Alluets-le-Roi, Andrésy, Arnouville-lès-Mantes, Aubergenville, Auffreville-Brasseuil, Aulnay-sur-Mauldre, Boinville-en-Mantois, Bouafle, Breuil-Bois-Robert, Brueil-en-Vexin, Buchelay, Carrières-sous-Poissy, Chanteloup-les-Vignes, Chapet, Conflans-Sainte-Honorine, Drocourt, Ecquevilly, Épône, Évecquemont, La Falaise, Favrieux, Flacourt, Flins-sur-Seine, Follainville-Dennemont, Fontenay-Mauvoisin, Fontenay-Saint-Père, Gaillon-sur-Montcient, Gargenville, Goussonville, Guernes, Guerville, Guitrancourt, Hardricourt, Hargeville, Issou, Jambville, Jouy-Mauvoisin, Jumeauville, Juziers, Lainville-en-Vexin, Limay, Magnanville, Mantes-la-Jolie, Mantes-la-Ville, Médan, Méricourt, Meulan-en-Yvelines, Mézières-sur-Seine, Mézy-sur-Seine, Montalet-le-Bois, Morainvilliers, Mousseaux-sur-Seine, Les Mureaux, Nézel, Oinville-sur-Montcient, Orgeval, Perdreauville, Poissy, Porcheville, Rolleboise, Rosny-sur-Seine, Sailly, Saint-Martin-la-Garenne, Soindres, Le Tertre-Saint-Denis, Tessancourt-sur-Aubette, Triel-sur-Seine, Vaux-sur-Seine, Verneuil-sur-Seine, Vernouillet, Vert, Villennes-sur-Seine;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "CU Grand Paris Seine et Oise" Achères
ABC des Aspres;CC des Aspres;Banyuls-dels-Aspres, Brouilla, Caixas, Calmeilles, Camélas, Castelnou, Fourques, Llauro, Montauriol, Oms, Passa, Sainte-Colombe-de-la-Commanderie, Saint-Jean-Lasseille, Terrats, Thuir, Tordères, Tresserre, Trouillas, Villemolaque;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "CC des Aspres" Banyuls-dels-Aspres
ABC des Gorges et Piémonts de la Montagne Noire;CA Carcassonne Agglo;Cabrespine, Castans, Caunes-Minervois, Trassanel, Villeneuve-Minervois;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "CA Carcassonne Agglo" Cabrespine
ABC des sources du Salembre (Saint-Aquilin);;Saint-Aquilin;2022;Va débuter;statut figé à 2022 (archives);"atlas de la biodiversité communale" "des sources du Salembre (Saint-Aquilin)" Saint-Aquilin
ABC des vallées de la Louette et de la Chalouette;Chalo-Saint-Mars;Chalo-Saint-Mars, Chalou-Moulineux, Saint-Hilaire;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Chalo-Saint-Mars" Chalo-Saint-Mars
ABC du Bassin de l'Isle entre Isle et Double;Syndica mixte du bassin versant de l'isle (SMBI);Moulin-Neuf, Saint-Martial-d'Artenset, Saint-Michel-de-Double;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "Syndica mixte du bassin versant de l'isle (SMBI)" Moulin-Neuf
ABC du Bassin de l'Isle entre causses et rivières;Syndica mixte du bassin versant de l'isle (SMBI);Brouchaud, Saint-Martial-d'Albarède;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "Syndica mixte du bassin versant de l'isle (SMBI)" Brouchaud
ABC du Capcir;Les Angles;Les Angles, Fontrabiouse, Formiguères, Matemale, Puyvalador, Réal;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Les Angles" Les Angles
ABC du Carmausin-Ségala;CC Carmausin-Ségala;Almayrac, Blaye-les-Mines, Cagnac-les-Mines, Carmaux, Combefa, Crespin, Le Garric, Jouqueviel, Labastide-Gabausse, Mailhoc, Milhavet, Mirandol-Bourgnounac, Monestiés, Montauriol, Montirat, Moularès, Pampelonne, Rosières, Saint-Benoît-de-Carmaux, Saint-Christophe, Sainte-Gemme, Saint-Jean-de-Marcel, Le Ségur, Taïx, Tanus, Tréban, Trévien, Valderiès, Villeneuve-sur-Vère, Virac, Sainte-Croix;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "CC Carmausin-Ségala" Almayrac
ABC du Centre-Ouest;CC du Centre-Ouest;Chiconi, M'Tsangamouji, Ouangani, Sada, Tsingoni;2017;Va débuter;« va débuter » depuis 2017 → potentiellement en cours;"atlas de la biodiversité communale" "CC du Centre-Ouest" Chiconi
ABC du Lamentin;;Le Lamentin;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "du Lamentin" Le Lamentin
ABC du PETR du Haut-Rouergue;Pôle d’Équilibre Territorial et Rural (PETR) du Haut-Rouergue;Bertholène, Bozouls, Gabriac, Pierrefiche, Rodelle, Saint-Martin-de-Lenne;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Pôle d’Équilibre Territorial et Rural (PETR) du Haut-Rouergue" Bertholène
ABC du PNR Marais Poitevin;Marais Poitevin;Angliers, Bessines, Le Bourdet, Coulon, Saint-Symphorien, Val-du-Mignon, Benet, Longeville-sur-Mer, Le Mazeau, Puyravault;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "Marais Poitevin" Angliers
ABC du PNR de l'Avesnois III;Avesnois;Aibes, Beaurieux, Bellignies, Bérelles, Bettrechies, Beugnies, Choisies, Clairfayts, Colleret, Cousolre, Eccles, Felleries, Gussignies, Hestrud, Houdain-lez-Bavay, Liessies, Quiévelon, Ramousies, Sars-Poteries, Solre-le-Château;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "Avesnois" Aibes
ABC du PNR du Mont Ventoux n°2;;Le Beaucet, Mazan, Méthamis, Mormoiron, Saint-Didier, Saint-Pierre-de-Vassols, Venasque, Villes-sur-Auzon;2023;Va débuter;statut figé à 2022 (archives);"atlas de la biodiversité communale" "du PNR du Mont Ventoux n°2" Le Beaucet
ABC du PNR du Verdon : Esparron-de-Verdon et Rougon;Verdon;Esparron-de-Verdon, Rougon;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Verdon" Esparron-de-Verdon
ABC du SCOT des Vosges Centrales;SCOT des Vosges Centrales;Les Ableuvenettes, Ahéville, Ambacourt, Arches, Archettes, Avillers, Avrainville, Aydoilles, Badménil-aux-Bois, La Baffe, La Vôge-les-Bains, Bainville-aux-Saules, Battexey, Baudricourt, Bayecourt, Bazegney, Begnécourt, Bellefontaine, Bettegney-Saint-Brice, Bettoncourt, Biécourt, Blémerey, Bocquegney, Boulaincourt, Bouxières-aux-Bois, Bouxurulles, Bouzemont, Brantigny, Chamagne, Chantraine, La Chapelle-aux-Bois, Charmes, Charmois-l'Orgueilleux, Châtel-sur-Moselle, Chauffecourt, Chaumousey, Chavelot, Chef-Haut, Circourt, Le Clerjus, Damas-aux-Bois, Damas-et-Bettegney, Darnieulles, Derbamont, Deyvillers, Dignonville, Dinozé, Dogneville, Dombasle-en-Xaintois, Domèvre-sur-Durbion, Dommartin-aux-Bois, Dompaire, Dompierre, Domvallier, Dounoux, Épinal, Essegney, Évaux-et-Ménil, Florémont, Fomerey, Fontenoy-le-Château, Les Forges, Frenelle-la-Grande, Frenelle-la-Petite, Frizon, Gelvécourt-et-Adompt, Gigney, Girancourt, Gircourt-lès-Viéville, Golbey, Gorhey, Gruey-lès-Surance, Gugney-aux-Aulx, Hadigny-les-Verrières, Hadol, Hagécourt, Haillainville, Harol, La Haye, Hennecourt, Hergugney, Hymont, Igney, Jarménil, Jeuxey, Jorxey, Juvaincourt, Langley, Légéville-et-Bonfays, Longchamp, Madecourt, Madegney, Madonne-et-Lamerey, Marainville-sur-Madon, Maroncourt, Mattaincourt, Mazeley, Mazirot, Mirecourt, Montmotier, Moriville, Nomexy, Oëlleville, Padoux, Pallegney, Pierrefitte, Pont-sur-Madon, Portieux, Poussay, Pouxeux, Puzieux, Racécourt, Ramecourt, Rancourt, Raon-aux-Bois, Rapey, Regney, Rehaincourt, Remicourt, Renauvoid, Repel, Rouvres-en-Xaintois, Rugney, Saint-Prancher, Saint-Vallier, Sanchey, Savigny, Sercœur, Socourt, Thaon-les-Vosges, Thiraucourt, Totainville, Trémonzey, Ubexy, Uriménil, Uxegney, Uzemain, Valleroy-aux-Saules, Varmonzey, Vaubexy, Vaudéville, Vaxoncourt, Velotte-et-Tatignécourt, Villers, Ville-sur-Illon, Villoncourt, Vincey, Les Voivres, Vomécourt-sur-Madon, Vroville, Xaronval, Xertigny, Zincourt;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "SCOT des Vosges Centrales" Les Ableuvenettes
ABC du SICOVAL;CA du Sicoval;Belberaud, Escalquens, Péchabou;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "CA du Sicoval" Belberaud
